"N","lambda_bar","cv","D","cap","compliance","decay","phi","beta1","trigger_link","grid","power","mcse_power","power_all","type_s","type_m","bias","rel_bias","emp_se","rmse","coverage","ci_width","conv_rate","R_converged","R_total","mean_n","sd_n","below_k","master_seed","R_requested"
20,1,0.3,7,Inf,0.75,0,0.3,0.2,0,"primary",0.256410256410256,0.0145793502820417,0.115,0,1.99445017109359,0.008408894283679,0.042044471418395,0.163491510859364,0.163616578870572,0.930880713489409,0.630146617367586,0.4485,897,2000,5.269475,2.75120945113914,0.92285,20260709,2000
40,1,0.3,7,Inf,0.75,0,0.3,0.2,0,"primary",0.503929273084479,0.0156704946183746,0.2565,0,1.48531281341064,0.0134038202044543,0.0670191010222716,0.110061099281689,0.110820615014773,0.948919449901768,0.435184305119454,0.509,1018,2000,5.244925,2.74831101841735,0.925225,20260709,2000
60,1,0.3,7,Inf,0.75,0,0.3,0.2,0,"primary",0.629526462395543,0.0147155920548855,0.339,0,1.29987942088662,0.00690859770780503,0.0345429885390251,0.0917102944930285,0.0919276747658376,0.935004642525534,0.349337315313324,0.5385,1077,2000,5.23859166666667,2.76220972756292,0.924708333333333,20260709,2000
90,1,0.3,7,Inf,0.75,0,0.3,0.2,0,"primary",0.816787003610108,0.0116215128826701,0.4525,0,1.15581998196687,0.00725560600592307,0.0362780300296153,0.0730797370435051,0.0734062102649976,0.944043321299639,0.284135376478514,0.554,1108,2000,5.25797222222222,2.77891546706128,0.9228,20260709,2000
120,1,0.3,7,Inf,0.75,0,0.3,0.2,0,"primary",0.904371584699454,0.00887494690651671,0.4965,0,1.0923032631899,0.00666579387108621,0.033328969355431,0.062500761436793,0.062826907425798,0.954462659380692,0.245680058010644,0.549,1098,2000,5.25428333333333,2.77763782910383,0.923716666666667,20260709,2000
150,1,0.3,7,Inf,0.75,0,0.3,0.2,0,"primary",0.96797153024911,0.00525189737585719,0.544,0,1.07165994831236,0.0102698173201884,0.051349086600942,0.0572143783956162,0.0581037166599458,0.947508896797153,0.219795031957252,0.562,1124,2000,5.25913666666667,2.77899145266258,0.923173333333333,20260709,2000
20,2,0.3,7,Inf,0.75,0,0.3,0.2,0,"primary",0.450890292935095,0.0119251985287229,0.3925,0.00127226463104326,1.4560226911911,-0.00218834481865843,-0.0109417240932921,0.112651461693026,0.112640363805003,0.931648477886272,0.42786448064822,0.8705,1741,2000,10.487325,4.44818872856057,0.4567,20260709,2000
40,2,0.3,7,Inf,0.75,0,0.3,0.2,0,"primary",0.765400410677618,0.00960093419297837,0.7455,0,1.16557298243047,0.00256335673711261,0.012816783685563,0.077044841117998,0.0770677050404108,0.941478439425051,0.297660128178742,0.974,1948,2000,10.52465,4.48781968529171,0.451275,20260709,2000
60,2,0.3,7,Inf,0.75,0,0.3,0.2,0,"primary",0.90557508789553,0.00655344860650774,0.9015,0,1.07649923070346,0.00397756669793239,0.019887833489662,0.0625568305266096,0.0626674760860327,0.94123556002009,0.243825798570006,0.9955,1991,2000,10.4887166666667,4.47361066644498,0.452966666666667,20260709,2000
90,2,0.3,7,Inf,0.75,0,0.3,0.2,0,"primary",0.971471471471472,0.00372440558898383,0.9705,0,1.01655569669361,-3.46709011262158e-05,-0.000173354505631079,0.0499549674562938,0.049942476683136,0.943943943943944,0.198719792549265,0.999,1998,2000,10.5010444444444,4.51359999452615,0.452866666666667,20260709,2000
120,2,0.3,7,Inf,0.75,0,0.3,0.2,0,"primary",0.995,0.00157718102955875,0.995,0,1.0016067391337,-0.000318567291176491,-0.00159283645588246,0.0449185571038541,0.0449084559857613,0.943,0.172068589259329,1,2000,2000,10.5089,4.5083003759592,0.451933333333333,20260709,2000
150,2,0.3,7,Inf,0.75,0,0.3,0.2,0,"primary",0.998,0.000998999499499375,0.998,0,0.99429173227585,-0.00140229574608119,-0.00701147873040597,0.0394158324166756,0.0394309202851821,0.953,0.154161098192208,1,2000,2000,10.4976633333333,4.50806524841335,0.452493333333333,20260709,2000
20,4,0.3,7,Inf,0.75,0,0.3,0.2,0,"primary",0.628834355828221,0.0109236453152123,0.615,0,1.23573781804303,-0.00159293734673355,-0.00796468673366774,0.0851326883523102,0.0851258290501839,0.946319018404908,0.339448783527462,0.978,1956,2000,21.050375,7.67650810945518,0.046175,20260709,2000
40,4,0.3,7,Inf,0.75,0,0.3,0.2,0,"primary",0.892,0.0069403169956422,0.892,0,1.06055181231081,-0.000577291665566304,-0.00288645832783152,0.0626314257256621,0.0626184270510849,0.943,0.239265340406778,1,2000,2000,21.0197125,7.71592500571282,0.045775,20260709,2000
60,4,0.3,7,Inf,0.75,0,0.3,0.2,0,"primary",0.972,0.00368890227574546,0.972,0,1.02499012328808,0.00166324137635082,0.00831620688175411,0.0504276448899573,0.0504424649213247,0.9445,0.196925232057302,1,2000,2000,21.0167583333333,7.76420476695059,0.0461583333333333,20260709,2000
90,4,0.3,7,Inf,0.75,0,0.3,0.2,0,"primary",0.9975,0.00111663557170635,0.9975,0,1.00685218294339,0.00104422497341763,0.00522112486708817,0.0412427866483022,0.0412456952006779,0.9505,0.160989437165573,1,2000,2000,21.0039111111111,7.74503204598395,0.0458444444444444,20260709,2000
120,4,0.3,7,Inf,0.75,0,0.3,0.2,0,"primary",1,0,1,0,1.00216511455909,0.000433022911818126,0.00216511455909063,0.0350669564489504,0.0350608627634496,0.9495,0.139439132184176,1,2000,2000,20.9959166666667,7.77497496514232,0.0469041666666667,20260709,2000
150,4,0.3,7,Inf,0.75,0,0.3,0.2,0,"primary",1,0,1,0,1.00644798788584,0.00128959757716834,0.00644798788584172,0.0320310225694419,0.0320489699608539,0.942,0.124841476811081,1,2000,2000,20.97864,7.7658302903877,0.0460833333333333,20260709,2000
20,1,0.9,7,Inf,0.75,0,0.3,0.2,0,"primary",0.251805054151625,0.0130397638477529,0.1395,0,1.94012778521864,0.00168633843651086,0.00843169218255432,0.159169763716372,0.159106856807098,0.953068592057762,0.655555645783472,0.554,1108,2000,5.265475,5.09026596969013,0.8296,20260709,2000
40,1,0.9,7,Inf,0.75,0,0.3,0.2,0,"primary",0.438928804702809,0.0126828960336139,0.336,0.00148588410104012,1.50427857335294,0.00214953288417544,0.0107476644208772,0.115469196032198,0.11545149175511,0.941868060091444,0.447515006089339,0.7655,1531,2000,5.2516875,5.15307093783658,0.8301125,20260709,2000
60,1,0.9,7,Inf,0.75,0,0.3,0.2,0,"primary",0.605446118192352,0.0117644198187658,0.5225,0,1.28813892900739,0.000859588804722394,0.00429794402361197,0.0937853195335864,0.0937620875334542,0.933951332560834,0.358127736801505,0.863,1726,2000,5.22270833333333,5.14120667699644,0.831741666666667,20260709,2000
