"N","lambda_bar","cv","D","cap","compliance","decay","phi","beta1","trigger_link","grid","power","mcse_power","power_all","type_s","type_m","bias","rel_bias","emp_se","rmse","coverage","ci_width","conv_rate","R_converged","R_total","mean_n","sd_n","below_k","master_seed","R_requested"
40,1,0.3,14,5,0.75,0,0.3,0.2,0,"S1_cap",0.73155737704918,0.0141848590606966,0.714,0,1.15996588074867,-0.00155892585044473,-0.00779462925222366,0.077693790600151,0.0776696246180304,0.935450819672131,0.297615013855875,0.976,976,1000,10.4984,4.46408784844747,0.4491,20260709,1000
90,1,0.3,14,5,0.75,0,0.3,0.2,0,"S1_cap",0.978,0.00463853425124791,0.978,0,1.01269993676636,-9.92197865326838e-05,-0.000496098932663419,0.0512365754592515,0.0512110468814378,0.948,0.19933072599069,1,1000,1000,10.4600222222222,4.47038021526203,0.453933333333333,20260709,1000
150,1,0.3,14,5,0.75,0,0.3,0.2,0,"S1_cap",0.999,0.000999499874937461,0.999,0,1.00853157700847,0.00158009782986923,0.00790048914934616,0.0400802255776964,0.0400913303225102,0.937,0.154174521742382,1,1000,1000,10.4923666666667,4.48601331967018,0.4525,20260709,1000
40,2,0.3,14,5,0.75,0,0.3,0.2,0,"S1_cap",0.911911911911912,0.00896710576556808,0.911,0,1.06009424847722,0.0020610834902231,0.0103054174511155,0.060124048565958,0.0601292837258158,0.94994994994995,0.240812675213676,0.999,999,1000,20.564475,7.15735719650731,0.0463,20260709,1000
90,2,0.3,14,5,0.75,0,0.3,0.2,0,"S1_cap",0.998,0.00141279864099595,0.998,0,1.00437741176255,0.000637806795003693,0.00318903397501846,0.0408172765592335,0.0408018481585698,0.937,0.160663446379631,1,1000,1000,20.6156,7.20490553012844,0.0463555555555556,20260709,1000
150,2,0.3,14,5,0.75,0,0.3,0.2,0,"S1_cap",1,0,1,0,0.992135940937455,-0.00157281181250896,-0.00786405906254478,0.0317403698866234,0.0317634596109539,0.952,0.125136660664458,1,1000,1000,20.5974866666667,7.22810256988375,0.0463733333333333,20260709,1000
40,4,0.3,14,5,0.75,0,0.3,0.2,0,"S1_cap",0.936,0.0077397674383666,0.936,0,1.04536683458203,0.00145452967991447,0.00727264839957234,0.0584913098429065,0.058480148344558,0.933,0.216337766635179,1,1000,1000,36.319325,8.78015526047978,0.00075,20260709,1000
90,4,0.3,14,5,0.75,0,0.3,0.2,0,"S1_cap",0.999,0.000999499874937461,0.999,0,0.996044107670842,-0.000925075657767394,-0.00462537828883697,0.0370525338747391,0.0370455549458332,0.938,0.143889300596655,1,1000,1000,36.3493333333333,8.80765310002937,0.000777777777777777,20260709,1000
150,4,0.3,14,5,0.75,0,0.3,0.2,0,"S1_cap",1,0,1,0,1.00335120410661,0.000670240821322554,0.00335120410661277,0.0298954290919868,0.0298879936876329,0.943,0.111393218012247,1,1000,1000,36.3204133333333,8.82734133435212,0.000886666666666667,20260709,1000
40,1,0.9,14,5,0.75,0,0.3,0.2,0,"S1_cap",0.674636174636175,0.0151053888343961,0.649,0,1.23123801991833,0.00228643110799534,0.0114321555399767,0.0864284221410476,0.0864137430107847,0.932432432432432,0.325744638326438,0.962,962,1000,10.2899,9.14921940362865,0.57815,20260709,1000
90,1,0.9,14,5,0.75,0,0.3,0.2,0,"S1_cap",0.941941941941942,0.00739878787468595,0.941,0,1.04499841709925,0.00192028449664114,0.0096014224832057,0.0581105264348497,0.0581131702937241,0.922922922922923,0.216946671318923,0.999,999,1000,10.2433666666667,9.17237136123429,0.582433333333333,20260709,1000
150,1,0.9,14,5,0.75,0,0.3,0.2,0,"S1_cap",0.999,0.000999499874937461,0.999,0,1.00374172086941,0.000644188303900006,0.00322094151950003,0.0430293799584601,0.0430126840669214,0.941,0.169175491580159,1,1000,1000,10.2574466666667,9.20113008671852,0.581073333333333,20260709,1000
40,2,0.9,14,5,0.75,0,0.3,0.2,0,"S1_cap",0.808425275827482,0.0124635415848487,0.806,0,1.11740986801782,-0.000621683250255328,-0.00310841625127664,0.0735000586743611,0.0734658192701241,0.915747241725176,0.267063660293744,0.997,997,1000,18.716875,14.1340024437299,0.3337,20260709,1000
90,2,0.9,14,5,0.75,0,0.3,0.2,0,"S1_cap",0.993,0.00263647491928143,0.993,0,1.01045710558406,0.00123822957099723,0.00619114785498615,0.0462036676986509,0.0461971572974901,0.944,0.177979239977292,1,1000,1000,18.7082333333333,14.1259729515369,0.332677777777778,20260709,1000
150,2,0.9,14,5,0.75,0,0.3,0.2,0,"S1_cap",1,0,1,0,0.999940729400411,-1.1854119917859e-05,-5.9270599589295e-05,0.0363581572826211,0.0363399755903466,0.943,0.138358950104373,1,1000,1000,18.6884666666667,14.1579669035753,0.334173333333333,20260709,1000
40,4,0.9,14,5,0.75,0,0.3,0.2,0,"S1_cap",0.906,0.00922843432007835,0.906,0,1.0480015516307,-0.00151574640104701,-0.00757873200523507,0.0603953550737299,0.0603841767578206,0.949,0.236702733737235,1,1000,1000,29.4317,17.041389161743,0.169225,20260709,1000
90,4,0.9,14,5,0.75,0,0.3,0.2,0,"S1_cap",0.998,0.00141279864099595,0.998,0,0.99654634775007,-0.000934443516766054,-0.00467221758383027,0.04127898935741,0.0412689252597257,0.941,0.157974961750487,1,1000,1000,29.4074333333333,17.0482379767142,0.168955555555556,20260709,1000
