"N","lambda_bar","cv","D","cap","compliance","decay","phi","trigger_link","trigger_mode","model","beta1","beta_l2","beta_cross","grid","power","mcse_power","power_all","type_s","type_m","bias","rel_bias","emp_se","rmse","coverage","ci_width","conv_rate","R_converged","R_total","mean_n","sd_n","below_k","master_seed","R_requested"
20,1,0.3,7,Inf,0.75,0,0.3,0,"poisson",7,0.2,0.3,0.1,"model_7",0.0885529157667387,0.0132031229432892,0.041,0.0238095238095238,3.73447586967487,0.0029545357468319,0.029545357468319,0.174226663591674,0.174063488943593,0.963282937365011,0.703308547636602,0.463,463,1000,5.2558,2.73238769986721,0.92625,20260709,1000
40,1,0.3,7,Inf,0.75,0,0.3,0,"poisson",7,0.2,0.3,0.1,"model_7",0.184701492537313,0.016761432453557,0.099,0.0198019801980198,2.77837072800222,0.00900200176284767,0.0900200176284767,0.123261147063429,0.123474696528553,0.936567164179104,0.455415118894621,0.536,536,1000,5.263775,2.74476868936684,0.9263,20260709,1000
60,1,0.3,7,Inf,0.75,0,0.3,0,"poisson",7,0.2,0.3,0.1,"model_7",0.211505922165821,0.0167983545571713,0.125,0,2.23888210692086,0.00552688159498249,0.0552688159498249,0.0920304957493437,0.0921185517852574,0.942470389170897,0.362253648328916,0.591,591,1000,5.24958333333333,2.77008477674212,0.92375,20260709,1000
90,1,0.3,7,Inf,0.75,0,0.3,0,"poisson",7,0.2,0.3,0.1,"model_7",0.28595041322314,0.0183709604836544,0.173,0,1.87737921338497,0.00421410586269093,0.0421410586269093,0.0733770921097802,0.0734374348303847,0.950413223140496,0.289950328723507,0.605,605,1000,5.23682222222222,2.76463910638954,0.925322222222222,20260709,1000
120,1,0.3,7,Inf,0.75,0,0.3,0,"poisson",7,0.2,0.3,0.1,"model_7",0.326086956521739,0.019169820785374,0.195,0,1.68940588118537,-0.000279412548135627,-0.00279412548135627,0.0635339670410292,0.06348143768615,0.949832775919732,0.251686877285139,0.598,598,1000,5.237175,2.76939153118374,0.924133333333333,20260709,1000
150,1,0.3,7,Inf,0.75,0,0.3,0,"poisson",7,0.2,0.3,0.1,"model_7",0.458064516129032,0.020009732115717,0.284,0,1.53265355468531,0.00358638901092219,0.0358638901092219,0.0580825270907022,0.0581463746194956,0.945161290322581,0.22254729941649,0.62,620,1000,5.24980666666667,2.77053548007262,0.923746666666667,20260709,1000
20,2,0.3,7,Inf,0.75,0,0.3,0,"poisson",7,0.2,0.3,0.1,"model_7",0.14,0.0119015569915675,0.119,0.0165289256198347,2.81835639760367,0.0037263359227083,0.037263359227083,0.118795755814076,0.118784318485822,0.938823529411765,0.462290285839664,0.85,850,1000,10.49765,4.45522378538374,0.45425,20260709,1000
40,2,0.3,7,Inf,0.75,0,0.3,0,"poisson",7,0.2,0.3,0.1,"model_7",0.278063851699279,0.014378449161357,0.27,0.00735294117647059,1.94725856685422,0.00181396717378353,0.0181396717378353,0.0825327091375975,0.0825101416126529,0.924819773429454,0.311156657795561,0.971,971,1000,10.477875,4.49851473014418,0.45705,20260709,1000
60,2,0.3,7,Inf,0.75,0,0.3,0,"poisson",7,0.2,0.3,0.1,"model_7",0.359437751004016,0.0152041744874416,0.358,0,1.65333894161506,0.000205659608854242,0.00205659608854242,0.0648335224205834,0.064801293649423,0.941767068273092,0.249552599620303,0.996,996,1000,10.50325,4.50595958370378,0.453533333333333,20260709,1000
90,2,0.3,7,Inf,0.75,0,0.3,0,"poisson",7,0.2,0.3,0.1,"model_7",0.532,0.0157789733506334,0.532,0,1.40833407799024,0.0034673788834636,0.034673788834636,0.0510079214705831,0.0511001855282142,0.95,0.202587452573773,1,1000,1000,10.4958111111111,4.49621354790041,0.451833333333333,20260709,1000
